;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2046;1120
1;bird.pgm;5082;256;256;65536;331;153
2;boat.pgm;38628;512;512;262144;2496;917
3;bridge.pgm;14330;256;256;65536;534;260
4;camera.pgm;10885;256;256;65536;492;180
5;frog.pgm;30237;621;498;309258;1103;529
6;goldhill.pgm;43000;512;512;262144;1881;938
7;house.pgm;9851;256;256;65536;493;192
8;lena.pgm;31643;512;512;262144;1925;1003
9;mandrill.pgm;60239;512;512;262144;2850;1258
10;mountain.pgm;46405;640;480;307200;1327;734
11;naturel.pgm;129684;1600;1200;1920000;17520;8504
12;peppers.pgm;34122;512;512;262144;2120;974
13;piscine.pgm;1034825;3072;2304;7077888;84891;42926
14;sat.pgm;249604;1297;1381;1791157;15530;6949
15;washsat.pgm;17186;512;512;262144;191;185
16;zelda.pgm;24674;512;512;262144;1731;1082
